fecha,venue,sub_venue,riders,z_dow,event_name,event_category,year,month,dow
2017-06-18,Azteca,Estadio Azteca,109308,2.690899691092768,Liga MX (Club América),soccer_domestic,2017,6,6
2019-01-06,Azteca,Estadio Azteca,114965,3.023877632131174,Liga MX (Club América),soccer_domestic,2019,1,6
2019-02-03,Azteca,Estadio Azteca,117508,3.173561723356323,Liga MX (Club América),soccer_domestic,2019,2,6
2019-02-10,Azteca,Estadio Azteca,144490,4.761755254397207,Liga MX (Club América),soccer_domestic,2019,2,6
2019-03-10,Azteca,Estadio Azteca,147099,4.915324186369844,Liga MX (Club América),soccer_domestic,2019,3,6
2019-04-07,Azteca,Estadio Azteca,138458,4.40670435456626,Liga MX (Club América),soccer_domestic,2019,4,6
2019-05-12,Azteca,Estadio Azteca,155585,5.414820528539177,Liga MX (Club América),soccer_domestic,2019,5,6
2019-06-02,Azteca,Estadio Azteca,161520,5.764161889695787,Liga MX (Club América),soccer_domestic,2019,6,6
2019-06-09,Azteca,Estadio Azteca,153972,5.319877375119528,Liga MX (Club América),soccer_domestic,2019,6,6
2019-08-04,Azteca,Estadio Azteca,150492,5.115040317524751,Liga MX (Club América),soccer_domestic,2019,8,6
2019-08-11,Azteca,Estadio Azteca,160929,5.729374906638743,Liga MX (Club América),soccer_domestic,2019,8,6
2019-09-01,Azteca,Estadio Azteca,150825,5.134641104932528,Liga MX (Club América),soccer_domestic,2019,9,6
2019-09-08,Azteca,Estadio Azteca,157854,5.54837664453991,Liga MX (Club América),soccer_domestic,2019,9,6
2019-10-06,Azteca,Estadio Azteca,147902,4.962589748797604,Liga MX (Club América),soccer_domestic,2019,10,6
2019-11-03,Azteca,Estadio Azteca,160194,5.686111907405363,Liga MX (Club América),soccer_domestic,2019,11,6
2019-11-10,Azteca,Estadio Azteca,167612,6.12274446293354,Liga MX (Club América),soccer_domestic,2019,11,6
2019-12-01,Azteca,Estadio Azteca,137210,4.333245547704685,Liga MX (Club América),soccer_domestic,2019,12,6
2019-12-08,Azteca,Estadio Azteca,151458,5.171900259374336,Liga MX (Club América),soccer_domestic,2019,12,6
2016-02-29,Ciudad Deportiva,Foro Sol / Palacio Deportes,9248,2.739519340622948,Concert/Event,concert,2016,2,0
2016-03-01,Ciudad Deportiva,Autodromo / Foro Sol,13031,6.143110928056958,Spring Music Festival,music_festival,2016,3,1
2016-03-02,Ciudad Deportiva,Autodromo / Foro Sol,12717,4.516772560968961,Spring Music Festival,music_festival,2016,3,2
2016-03-15,Ciudad Deportiva,Autodromo / Foro Sol,10816,4.104915795395759,Spring Music Festival,music_festival,2016,3,1
2016-04-17,Ciudad Deportiva,Autodromo / Foro Sol,11567,3.517077516448933,Spring Music Festival,music_festival,2016,4,6
2016-04-18,Ciudad Deportiva,Autodromo / Foro Sol,10415,3.6721386727428373,Spring Music Festival,music_festival,2016,4,0
2016-04-24,Ciudad Deportiva,Autodromo / Foro Sol,11511,3.4888582541921607,Spring Music Festival,music_festival,2016,4,6
2016-04-25,Ciudad Deportiva,Autodromo / Foro Sol,11725,4.719037837333287,Spring Music Festival,music_festival,2016,4,0
2016-04-26,Ciudad Deportiva,Autodromo / Foro Sol,9570,2.9583735221244933,Spring Music Festival,music_festival,2016,4,1
2016-05-01,Ciudad Deportiva,Foro Sol / Palacio Deportes,10568,3.013666034404018,Concert/Event,concert,2016,5,6
