venue,event_category,event_name,z_dow,date
Azteca,soccer_domestic,Liga MX (Club América),2.690899691092768,2017-06-18
Azteca,soccer_domestic,Liga MX (Club América),3.023877632131174,2019-01-06
Azteca,soccer_domestic,Liga MX (Club América),3.173561723356323,2019-02-03
Azteca,soccer_domestic,Liga MX (Club América),4.761755254397207,2019-02-10
Azteca,soccer_domestic,Liga MX (Club América),4.915324186369844,2019-03-10
Azteca,soccer_domestic,Liga MX (Club América),4.40670435456626,2019-04-07
Azteca,soccer_domestic,Liga MX (Club América),5.414820528539177,2019-05-12
Azteca,soccer_domestic,Liga MX (Club América),5.764161889695787,2019-06-02
Azteca,soccer_domestic,Liga MX (Club América),5.319877375119528,2019-06-09
Azteca,soccer_domestic,Liga MX (Club América),5.115040317524751,2019-08-04
Azteca,soccer_domestic,Liga MX (Club América),5.729374906638743,2019-08-11
Azteca,soccer_domestic,Liga MX (Club América),5.134641104932528,2019-09-01
Azteca,soccer_domestic,Liga MX (Club América),5.54837664453991,2019-09-08
Azteca,soccer_domestic,Liga MX (Club América),4.962589748797604,2019-10-06
Azteca,soccer_domestic,Liga MX (Club América),5.686111907405363,2019-11-03
Azteca,soccer_domestic,Liga MX (Club América),6.12274446293354,2019-11-10
Azteca,soccer_domestic,Liga MX (Club América),4.333245547704685,2019-12-01
Azteca,soccer_domestic,Liga MX (Club América),5.171900259374336,2019-12-08
Ciudad Deportiva,concert,Concert/Event,2.739519340622948,2016-02-29
Ciudad Deportiva,music_festival,Spring Music Festival,6.143110928056958,2016-03-01
Ciudad Deportiva,music_festival,Spring Music Festival,4.516772560968961,2016-03-02
Ciudad Deportiva,music_festival,Spring Music Festival,4.104915795395759,2016-03-15
Ciudad Deportiva,music_festival,Spring Music Festival,3.517077516448933,2016-04-17
Ciudad Deportiva,music_festival,Spring Music Festival,3.672138672742837,2016-04-18
Ciudad Deportiva,music_festival,Spring Music Festival,3.4888582541921607,2016-04-24
Ciudad Deportiva,music_festival,Spring Music Festival,4.719037837333287,2016-04-25
Ciudad Deportiva,music_festival,Spring Music Festival,2.9583735221244933,2016-04-26
Ciudad Deportiva,concert,Concert/Event,3.013666034404018,2016-05-01
Ciudad Deportiva,concert,Concert/Event,3.426243831068833,2016-08-25
Ciudad Deportiva,concert,Concert/Event,2.5302930186014643,2016-08-26
Ciudad Deportiva,concert,Concert/Event,2.7861333788559026,2016-08-27
Ciudad Deportiva,concert,Concert/Event,3.532564837149589,2016-10-18
Ciudad Deportiva,motorsport,F1 Mexico GP,8.170689017666499,2016-10-28
Ciudad Deportiva,motorsport,F1 Mexico GP,4.725386928255473,2016-10-29
Ciudad Deportiva,motorsport,F1 Mexico GP,4.087509746353681,2016-10-30
Ciudad Deportiva,concert,Concert/Event,5.336788260408415,2016-10-31
Ciudad Deportiva,concert,Concert/Event,2.566641064744488,2016-11-11
Ciudad Deportiva,concert,Concert/Event,3.379782032492457,2017-02-17
Ciudad Deportiva,concert,Concert/Event,3.3870673439088046,2017-02-19
Ciudad Deportiva,concert,Concert/Event,7.409808438231032,2017-02-20
Ciudad Deportiva,concert,Concert/Event,2.872796931904407,2017-02-21
Ciudad Deportiva,concert,Concert/Event,4.339746747019954,2017-02-22
Ciudad Deportiva,concert,Concert/Event,2.627666839963172,2017-02-26
Ciudad Deportiva,concert,Concert/Event,3.616996655676623,2017-02-27
Ciudad Deportiva,music_festival,Spring Music Festival,2.6023541594866644,2017-03-01
Ciudad Deportiva,music_festival,Spring Music Festival,3.5458006941031472,2017-03-05
Ciudad Deportiva,music_festival,Vive Latino,4.270934951022699,2017-03-19
Ciudad Deportiva,concert,Concert/Event,4.604572660874328,2017-05-16
Ciudad Deportiva,concert,Concert/Event,3.7892487517439286,2017-05-17
Ciudad Deportiva,concert,Concert/Event,3.4830557767595143,2017-05-18
Ciudad Deportiva,concert,Concert/Event,3.901552372287476,2017-08-25
Ciudad Deportiva,concert,Concert/Event,3.5171815839275693,2017-08-26
Ciudad Deportiva,motorsport,F1 Mexico GP,4.525918003615224,2017-10-27
Ciudad Deportiva,motorsport,F1 Mexico GP,4.010145170861032,2017-10-28
Ciudad Deportiva,motorsport,F1 Mexico GP,4.571772443295787,2017-10-29
Ciudad Deportiva,concert,Concert/Event,2.8000059058884585,2017-11-12
Ciudad Deportiva,concert,Concert/Event,2.7564962894611056,2018-02-03
Ciudad Deportiva,concert,Concert/Event,2.858994256062457,2018-02-27
Ciudad Deportiva,music_festival,Spring Music Festival,2.553482227106744,2018-03-03
Ciudad Deportiva,music_festival,Spring Music Festival,3.3956294277441383,2018-03-12
Ciudad Deportiva,music_festival,Spring Music Festival,5.1401164835419655,2018-03-13
Ciudad Deportiva,music_festival,Spring Music Festival,3.507231072798102,2018-03-15
Ciudad Deportiva,music_festival,Vive Latino,2.6644526639764643,2018-03-18
Ciudad Deportiva,concert,Concert/Event,3.2971195404575155,2018-07-27
Ciudad Deportiva,concert,Concert/Event,3.5839876377206177,2018-08-23
Ciudad Deportiva,concert,Concert/Event,4.9075724881169736,2018-08-24
Ciudad Deportiva,concert,Concert/Event,2.801939826533128,2018-08-25
Ciudad Deportiva,motorsport,F1 Mexico GP,4.2216496818695886,2018-10-26
Ciudad Deportiva,motorsport,F1 Mexico GP,5.910376552557452,2018-10-27
Ciudad Deportiva,motorsport,F1 Mexico GP,5.134645942238899,2018-10-28
Ciudad Deportiva,concert,Concert/Event,2.8746372886833336,2018-11-06
Ciudad Deportiva,concert,Concert/Event,3.3522278684808096,2018-11-09
Ciudad Deportiva,concert,Concert/Event,2.7380243120030485,2018-11-25
Ciudad Deportiva,concert,Concert/Event,3.027955828833102,2018-12-20
Ciudad Deportiva,concert,Concert/Event,4.131952084129546,2018-12-21
Ciudad Deportiva,concert,Concert/Event,3.679480057073039,2019-01-24
Ciudad Deportiva,concert,Concert/Event,4.594450698590232,2019-02-05
Ciudad Deportiva,concert,Concert/Event,4.854972896658391,2019-02-24
Ciudad Deportiva,music_festival,Spring Music Festival,3.2781529566030727,2019-03-04
Ciudad Deportiva,music_festival,Spring Music Festival,3.9033967281032975,2019-03-05
Ciudad Deportiva,music_festival,Spring Music Festival,4.113713347020684,2019-03-10
Ciudad Deportiva,music_festival,Vive Latino,9.341331680087698,2019-03-17
Ciudad Deportiva,music_festival,Spring Music Festival,9.991094164663972,2019-03-18
Ciudad Deportiva,music_festival,Spring Music Festival,3.4687016382944664,2019-03-24
Ciudad Deportiva,music_festival,Spring Music Festival,6.8304176792019655,2019-03-25
Ciudad Deportiva,music_festival,Spring Music Festival,12.782687780403217,2019-04-04
Ciudad Deportiva,music_festival,Spring Music Festival,3.4359440682085696,2019-04-10
Ciudad Deportiva,music_festival,Spring Music Festival,4.486638663428408,2019-04-12
Ciudad Deportiva,music_festival,Spring Music Festival,2.817586228536609,2019-04-30
Ciudad Deportiva,concert,Concert/Event,4.09154106953322,2019-05-05
Ciudad Deportiva,concert,Concert/Event,7.034910905994029,2019-05-12
Ciudad Deportiva,concert,Concert/Event,3.9461070679012766,2019-06-05
Ciudad Deportiva,concert,Concert/Event,3.0831350752606816,2019-07-05
Ciudad Deportiva,concert,Concert/Event,2.760535168389885,2019-07-09
Ciudad Deportiva,concert,Concert/Event,3.3181632724046417,2019-08-06
Ciudad Deportiva,concert,Concert/Event,2.823689929568249,2019-08-11
Ciudad Deportiva,concert,Concert/Event,2.595367746373652,2019-08-23
Ciudad Deportiva,concert,Concert/Event,3.0623536801338456,2019-09-10
Ciudad Deportiva,motorsport,F1 Mexico GP,5.910075051093921,2019-10-25
Ciudad Deportiva,motorsport,F1 Mexico GP,4.927413087630008,2019-10-26
Ciudad Deportiva,motorsport,F1 Mexico GP,5.556927045295595,2019-10-27
Ciudad Deportiva,concert,Concert/Event,4.30762813942583,2019-11-13
Ciudad Deportiva,concert,Concert/Event,6.477770573539559,2019-11-14
Ciudad Deportiva,concert,Concert/Event,4.974832430661683,2022-02-12
Ciudad Deportiva,concert,Concert/Event,2.531153495240126,2022-02-24
Ciudad Deportiva,concert,Concert/Event,2.825181199406964,2022-02-25
Ciudad Deportiva,music_festival,Spring Music Festival,2.777137132432755,2022-03-03
Ciudad Deportiva,music_festival,Spring Music Festival,3.460099489292364,2022-03-04
