sid,name,line,latitude,longitude
1,balbuena,linea 1,19.4298,-99.0907
2,balderas,linea 1,19.4253,-99.148
3,boulevard puerto areo,linea 1,19.42,-99.14
4,candelaria,linea 1,19.4274,-99.1119
5,chapultepec,linea 1,19.42,-99.1758
6,cuauhtmoc,linea 1,19.42,-99.14
7,gmez faras,linea 1,19.42,-99.14
8,gmez farias,linea 1,19.42,-99.14
9,insurgentes,linea 1,19.42,-99.1615
10,isabel la catlica,linea 1,19.4274,-99.1349
11,juanacatln,linea 1,19.42,-99.14
12,merced,linea 1,19.4266,-99.1196
13,moctezuma,linea 1,19.429,-99.0988
14,observatorio,linea 1,19.3997,-99.2013
15,pantitln,linea 1,19.4153,-99.068
16,pino surez,linea 1,19.4272,-99.1289
17,salto del agua,linea 1,19.4261,-99.1417
18,san lzaro,linea 1,19.4314,-99.1065
19,sevilla,linea 1,19.42,-99.1685
20,tacubaya,linea 1,19.4019,-99.1887
21,zaragoza,linea 1,19.4217,-99.068
22,atlalilco,linea 12,19.341,-99.0847
23,calle 11,linea 12,19.3072,-99.0619
24,culhuacn,linea 12,19.31,-99.08
25,eje central,linea 12,19.3453,-99.1404
26,ermita,linea 12,19.37,-99.138
27,hospital 20 de noviembre,linea 12,19.42,-99.14
28,insurgentes sur,linea 12,19.3683,-99.1797
29,lomas estrella,linea 12,19.3166,-99.0693
30,mexicaltzingo,linea 12,19.3587,-99.1143
31,mixcoac,linea 12,19.3745,-99.1887
32,nopalera,linea 12,19.3322,-99.077
33,olivos,linea 12,19.2844,-99.0393
34,parque de los venados,linea 12,19.3521,-99.1501
35,perifrico oriente,linea 12,19.3001,-99.0557
36,san andrs tomatln,linea 12,19.32,-99.075
37,tezonco,linea 12,19.2924,-99.0475
38,tlaltenco,linea 12,19.288,-99.032
39,tlhuac,linea 12,19.2792,-99.0282
40,zapata,linea 12,19.3609,-99.1625
41,zapotitln,linea 12,19.3256,-99.0693
42,allende,linea 2,19.4353,-99.1388
43,bellas artes,linea 2,19.4356,-99.1388
44,chabacano,linea 2,19.4099,-99.1289
45,colegio militar,linea 2,19.4525,-99.1951
46,cuatro caminos,linea 2,19.4845,-99.2027
47,cuitlhuac,linea 2,19.42,-99.14
48,ermita,linea 2,19.37,-99.138
49,general anaya,linea 2,19.36,-99.138
50,hidalgo,linea 2,19.4356,-99.1474
51,nativitas,linea 2,19.3875,-99.1389
52,normal,linea 2,19.4448,-99.1793
53,panteones,linea 2,19.474,-99.1988
54,pino surez,linea 2,19.4272,-99.1289
55,popotla,linea 2,19.42,-99.14
56,portales,linea 2,19.3815,-99.1389
57,revolucin,linea 2,19.4342,-99.16
58,san antonio abad,linea 2,19.415,-99.1289
59,san cosme,linea 2,19.4397,-99.1694
60,tacuba,linea 2,19.4601,-99.1938
61,tasquea,linea 2,19.354,-99.13
62,viaducto,linea 2,19.4002,-99.1289
63,villa de corts,linea 2,19.39,-99.158
64,xola,linea 2,19.3945,-99.15
65,zcalo/tenochtitlan,linea 2,19.4328,-99.1329
66,balderas,linea 3,19.4253,-99.148
67,centro mdico,linea 3,19.3942,-99.1625
68,copilco,linea 3,19.3336,-99.1814
69,coyoacn,linea 3,19.3506,-99.1625
70,deportivo 18 de marzo,linea 3,19.42,-99.14
71,divisin del norte,linea 3,19.42,-99.14
72,etiopa/plaza de la transparencia,linea 3,19.42,-99.14
73,eugenia,linea 3,19.3773,-99.1625
74,guerrero,linea 3,19.452,-99.1402
75,hidalgo,linea 3,19.4356,-99.1474
76,hospital general,linea 3,19.4006,-99.1625
77,indios verdes,linea 3,19.5037,-99.1202
78,jurez,linea 3,19.4292,-99.1472
79,la raza,linea 3,19.4726,-99.1202
80,miguel ngel de quevedo,linea 3,19.42,-99.14
81,nios hroes,linea 3,19.42,-99.14
82,potrero,linea 3,19.478,-99.1202
83,tlatelolco,linea 3,19.459,-99.1332
84,universidad,linea 3,19.321,-99.187
85,viveros/derechos humanos,linea 3,19.42,-99.14
86,zapata,linea 3,19.3609,-99.1625
87,bondojito,linea 4,19.4741,-99.1062
88,canal del norte,linea 4,19.46,-99.1062
89,candelaria,linea 4,19.4274,-99.1119
90,consulado,linea 4,19.468,-99.1062
91,fray servando,linea 4,19.4181,-99.1062
92,jamaica,linea 4,19.4099,-99.0993
93,martn carrera,linea 4,19.42,-99.14
94,morelos,linea 4,19.4483,-99.1062
95,santa anita,linea 4,19.405,-99.09
96,talismn,linea 4,19.4826,-99.1062
97,aragn,linea 5,19.4578,-99.064
98,autobuses del norte,linea 5,19.42,-99.14
99,consulado,linea 5,19.468,-99.1062
100,eduardo molina,linea 5,19.4666,-99.064
101,hangares,linea 5,19.4275,-99.068
102,instituto del petrleo,linea 5,19.42,-99.14
103,la raza,linea 5,19.4726,-99.1202
104,misterios,linea 5,19.487,-99.115
105,oceana,linea 5,19.42,-99.14
106,pantitln,linea 5,19.4153,-99.068
107,politcnico,linea 5,19.4985,-99.1455
108,terminal area,linea 5,19.4356,-99.068
109,valle gmez,linea 5,19.42,-99.14
110,deportivo 18 de marzo,linea 6,19.42,-99.14
111,el rosario,linea 6,19.5032,-99.211
112,ferrera/arena ciudad de mxico,linea 6,19.42,-99.14
113,instituto del petrleo,linea 6,19.42,-99.14
114,la villa/baslica,linea 6,19.42,-99.14
115,lindavista,linea 6,19.4837,-99.1315
116,martn carrera,linea 6,19.42,-99.14
117,norte 45,linea 6,19.4791,-99.1628
118,tezozmoc,linea 6,19.42,-99.14
119,uam-azcapotzalco,linea 6,19.42,-99.14
120,vallejo,linea 6,19.4745,-99.1551
121,aquiles serdn,linea 7,19.4968,-99.2068
122,auditorio,linea 7,19.423,-99.19
123,barranca del muerto,linea 7,19.3616,-99.1978
124,camarones,linea 7,19.4888,-99.2068
125,constituyentes,linea 7,19.4154,-99.197
126,el rosario,linea 7,19.5032,-99.211
127,mixcoac,linea 7,19.3745,-99.1887
128,polanco,linea 7,19.432,-99.1887
129,refinera,linea 7,19.4781,-99.2068
130,san antonio,linea 7,19.42,-99.14
131,san joaqun,linea 7,19.4534,-99.1887
132,san pedro de los pinos,linea 7,19.42,-99.14
133,tacuba,linea 7,19.4601,-99.1938
134,tacubaya,linea 7,19.4019,-99.1887
135,aculco,linea 8,19.368,-99.09
136,apatlaco,linea 8,19.3776,-99.09
137,atlalilco,linea 8,19.341,-99.0847
