date,ridership,transfers,weekday,dow,year,month,median_wd,ratio
2024-12-14,100992.0,552.0,Saturday,5,2024,12,63631.0,1.587150917005862
2024-11-30,96759.0,592.0,Saturday,5,2024,11,63631.0,1.5206267385393912
2024-12-01,86327.0,465.0,Sunday,6,2024,12,58981.0,1.4636408334887505
2024-12-07,92844.0,561.0,Saturday,5,2024,12,63631.0,1.4591001241533215
2024-12-29,84913.0,524.0,Sunday,6,2024,12,58981.0,1.4396670114104542
2024-10-26,89768.0,596.0,Saturday,5,2024,10,63631.0,1.4107589068221464
2024-10-27,81957.0,452.0,Sunday,6,2024,10,58981.0,1.389549176853563
2024-10-19,87751.0,678.0,Saturday,5,2024,10,63631.0,1.379060520815326
2024-12-28,87329.0,541.0,Saturday,5,2024,12,63631.0,1.3724285332620891
2024-10-20,80038.0,510.0,Sunday,6,2024,10,58981.0,1.3570132754615893
2023-12-09,86224.0,506.0,Saturday,5,2023,12,63631.0,1.3550627838632112
2024-11-23,85907.0,636.0,Saturday,5,2024,11,63631.0,1.350080935393126
2024-11-03,79240.0,477.0,Sunday,6,2024,11,58981.0,1.343483494684729
2023-12-16,85185.0,533.0,Saturday,5,2023,12,63631.0,1.3387342647451714
2023-10-28,84808.0,702.0,Saturday,5,2023,10,63631.0,1.3328094796561425
2024-12-21,84607.0,508.0,Saturday,5,2024,12,63631.0,1.3296506419826815
2024-10-05,84545.0,565.0,Saturday,5,2024,10,63631.0,1.3286762741431064
2024-11-02,83821.0,665.0,Saturday,5,2024,11,63631.0,1.3172981722745203
2024-12-13,116118.0,1076.0,Friday,4,2024,12,89413.0,1.2986702157404404
2024-12-06,115830.0,1034.0,Friday,4,2024,12,89413.0,1.2954492076096318
2024-12-12,136584.0,1181.0,Thursday,3,2024,12,105580.5,1.293647974768068
2024-12-08,76111.0,400.0,Sunday,6,2024,12,58981.0,1.2904325121649345
2024-09-28,81342.0,492.0,Saturday,5,2024,9,63631.0,1.278339174301834
2024-12-11,136892.0,1204.0,Wednesday,2,2024,12,107268.5,1.276162153847588
2024-10-12,81121.0,710.0,Saturday,5,2024,10,63631.0,1.2748660244220584
2024-10-13,75040.0,578.0,Sunday,6,2024,10,58981.0,1.2722741221749376
2024-11-09,80617.0,597.0,Saturday,5,2024,11,63631.0,1.2669453568229323
2024-10-28,116969.0,1119.0,Monday,0,2024,10,92683.0,1.2620329510266175
2024-12-15,74236.0,450.0,Sunday,6,2024,12,58981.0,1.2586426137230633
2024-12-16,116576.0,1060.0,Monday,0,2024,12,92683.0,1.2577926912162964
2024-12-09,115970.0,1079.0,Monday,0,2024,12,92683.0,1.2512542753255722
2024-10-25,111769.0,652.0,Friday,4,2024,10,89413.0,1.250030756154027
2024-03-16,79230.0,666.0,Saturday,5,2024,3,63631.0,1.2451478053150193
2024-10-18,111256.0,1054.0,Friday,4,2024,10,89413.0,1.2442933354210237
2024-12-05,131296.0,1119.0,Thursday,3,2024,12,105580.5,1.2435629685405922
2024-11-16,79098.0,617.0,Saturday,5,2024,11,63631.0,1.2430733447533435
2024-12-10,132850.0,1182.0,Tuesday,1,2024,12,106951.0,1.242157623584632
2024-12-04,132985.0,1160.0,Wednesday,2,2024,12,107268.5,1.2397395321086806
2024-10-15,132306.0,1224.0,Tuesday,1,2024,10,106951.0,1.2370711821301343
2024-11-24,72946.0,435.0,Sunday,6,2024,11,58981.0,1.236771163595056
2023-11-25,78690.0,413.0,Saturday,5,2023,11,63631.0,1.236661375744527
2024-09-23,114425.0,1106.0,Monday,0,2024,9,92683.0,1.234584551643775
2024-11-17,72774.0,459.0,Sunday,6,2024,11,58981.0,1.233854970244655
2023-12-30,78487.0,460.0,Saturday,5,2023,12,63631.0,1.2334711068504345
2024-11-01,110061.0,995.0,Friday,4,2024,11,89413.0,1.2309283884893696
2024-06-30,72505.0,467.0,Sunday,6,2024,6,58981.0,1.229294179481528
2024-10-06,72308.0,423.0,Sunday,6,2024,10,58981.0,1.2259541208185687
2024-11-25,113613.0,938.0,Monday,0,2024,11,92683.0,1.2258235059288112
2024-12-03,130091.0,1147.0,Tuesday,1,2024,12,106951.0,1.2163607633402211
2024-10-17,128342.0,1232.0,Thursday,3,2024,10,105580.5,1.2155843171797822
2024-11-18,112529.0,1150.0,Monday,0,2024,11,92683.0,1.2141277256886376
2024-12-22,71607.0,416.0,Sunday,6,2024,12,58981.0,1.2140689374544344
2024-11-04,112354.0,1156.0,Monday,0,2024,11,92683.0,1.2122395692845505
2024-05-13,112293.0,1145.0,Monday,0,2024,5,92683.0,1.2115814119094117
2022-12-10,77003.0,476.0,Saturday,5,2022,12,63631.0,1.2101491411418963
2024-09-29,71352.0,205.0,Sunday,6,2024,9,58981.0,1.20974551126634
2024-10-29,129288.0,1147.0,Tuesday,1,2024,10,106951.0,1.208852652149115
2024-11-15,108045.0,1049.0,Friday,4,2024,11,89413.0,1.2083813315737084
2024-10-30,129512.0,812.0,Wednesday,2,2024,10,107268.5,1.2073628325184
2024-10-16,129442.0,1291.0,Wednesday,2,2024,10,107268.5,1.206710264429912
2024-11-21,127175.0,1183.0,Thursday,3,2024,11,105580.5,1.2045311397464493
2024-12-17,128774.0,1196.0,Tuesday,1,2024,12,106951.0,1.2040467129807109
2024-12-18,129080.0,1130.0,Wednesday,2,2024,12,107268.5,1.2033355551723013
2023-12-15,107524.0,1160.0,Friday,4,2023,12,89413.0,1.2025544383926274
2022-12-17,76419.0,491.0,Saturday,5,2022,12,63631.0,1.200971224717512
2024-11-14,126683.0,1121.0,Thursday,3,2024,11,105580.5,1.199871188334967
2024-11-08,107091.0,936.0,Friday,4,2024,11,89413.0,1.1977117421404047
2024-10-10,126380.0,1262.0,Thursday,3,2024,10,105580.5,1.1970013402096031
2023-11-26,70548.0,317.0,Sunday,6,2023,11,58981.0,1.1961140028144657
2023-11-18,76094.0,694.0,Saturday,5,2023,11,63631.0,1.1958636513649008
2024-12-02,110790.0,1018.0,Monday,0,2024,12,92683.0,1.1953648457645953
2024-05-19,70265.0,459.0,Sunday,6,2024,5,58981.0,1.191315847476306
2024-10-24,125611.0,1154.0,Thursday,3,2024,10,105580.5,1.1897177982676725
2024-10-09,127314.0,1324.0,Wednesday,2,2024,10,107268.5,1.1868721945398695
2024-09-30,109994.0,968.0,Monday,0,2024,9,92683.0,1.1867764314922908
2024-11-22,106097.0,1010.0,Friday,4,2024,11,89413.0,1.1865947904667107
2024-09-26,125196.0,1095.0,Thursday,3,2024,9,105580.5,1.185787148194979
2024-09-14,75289.0,567.0,Saturday,5,2024,9,63631.0,1.183212585060741
2024-12-19,124919.0,1110.0,Thursday,3,2024,12,105580.5,1.183163557664531
